Cell variables for frog model	SF Trinity at Sandy Bar test file		
SFR 1 Sept 2014	Elevation estimated from depth at 9.7 m3/s	Breeder-suitable from RSL 2/12/2015	Has-shelter added from RSL survey 10/22/2014
CellNum	Elevation (m)	Breeder-suitable?	Has-shelter?
4509	148.0019989	0	0
4510	148.0019989	0	0
4511	148.0019989	0	0
4512	148.0019989	0	0
4513	148.0019989	0	0
4514	148.0019989	0	0
4515	148.0019989	0	0
4516	148.0019989	0	0
4517	148.0019989	0	0
4518	148.0019989	0	0
4519	148.0019989	0	0
4520	148.0019989	0	0
4521	148.0019989	0	0
4522	148.0019989	0	0
4523	148.0019989	0	0
4524	148.0019989	0	0
4525	148.0019989	0	0
4526	148.0019989	0	0
4527	148.0019989	0	0
4528	148.0019989	0	0
4529	148.0019989	0	0
4530	148.0019989	0	0
4531	148.0019989	0	0
4532	148.0019989	0	0
4533	148.0019989	0	0
4534	148.0019989	0	0
4535	148.0019989	0	0
4536	148.0019989	0	0
4537	148.0019989	0	0
4538	148.0019989	0	0
4539	148.0019989	0	0
4540	148.0019989	0	0
4541	148.0019989	0	0
4542	148.0019989	0	0
4543	148.0019989	0	0
4544	148.0019989	0	0
4545	148.0019989	0	0
4546	148.0019989	0	0
4547	148.0019989	0	0
4548	148.0019989	0	0
4549	148.0019989	0	0
4550	148.0019989	0	0
4551	148.0019989	0	0
4552	148.0019989	0	0
4553	148.0019989	0	0
